,loss,accuracy,val_loss,val_accuracy,args
0,2.18623423576355,0.5086461305618286,1.566316843032837,0.5160202383995056,"(0.1,)"
1,1.2819998264312744,0.5124419927597046,1.06802499294281,0.5160202383995056,"(0.1,)"
2,0.97799152135849,0.5208772420883179,0.9044605493545532,0.5160202383995056,"(0.1,)"
3,0.8901399970054626,0.5124419927597046,0.8628835678100586,0.5160202383995056,"(0.1,)"
4,0.8353133797645569,0.5111767053604126,0.8043233752250671,0.5160202383995056,"(0.1,)"
5,0.7885146737098694,0.5297343134880066,0.7723190784454346,0.5480607151985168,"(0.1,)"
6,0.7444455027580261,0.6221003532409668,0.7709656357765198,0.517706573009491,"(0.1,)"
7,0.6958674192428589,0.663011372089386,0.6803739070892334,0.7453625798225403,"(0.1,)"
8,0.622160017490387,0.7473639845848083,0.6100301742553711,0.789207398891449,"(0.1,)"
9,0.5615279674530029,0.7827920913696289,0.5722817182540894,0.8010118007659912,"(0.1,)"
10,0.5262467861175537,0.8072543144226074,0.5603963732719421,0.7959527969360352,"(0.1,)"
11,0.514724612236023,0.8342471718788147,0.5564639568328857,0.8111298680305481,"(0.1,)"
12,0.48756730556488037,0.8418388962745667,0.6112073659896851,0.7959527969360352,"(0.1,)"
0,1.989679217338562,0.5124419927597046,1.277601957321167,0.5160202383995056,"(0.2,)"
1,1.0429320335388184,0.5141290426254272,0.8896453380584717,0.5160202383995056,"(0.2,)"
2,0.8417282700538635,0.5086461305618286,0.8068615794181824,0.5160202383995056,"(0.2,)"
3,0.7870041131973267,0.5128637552261353,0.7733995318412781,0.5160202383995056,"(0.2,)"
4,0.7437794804573059,0.6048080921173096,0.6965634226799011,0.7301855087280273,"(0.2,)"
5,0.7050865292549133,0.656684935092926,0.6634824872016907,0.6964586973190308,"(0.2,)"
6,0.6701957583427429,0.6984394788742065,0.6690611243247986,0.7234401106834412,"(0.2,)"
0,2.27666974067688,0.5048502683639526,1.7170209884643555,0.4890387952327728,"(0.3,)"
1,1.428520917892456,0.49894559383392334,1.184753179550171,0.4839797616004944,"(0.3,)"
2,1.0643829107284546,0.5002108812332153,0.9625141024589539,0.5160202383995056,"(0.3,)"
3,0.9117621779441833,0.5115984678268433,0.8640516400337219,0.5160202383995056,"(0.3,)"
4,0.8357000350952148,0.5128637552261353,0.8051006197929382,0.5160202383995056,"(0.3,)"
5,0.8092870712280273,0.5141290426254272,0.8115878701210022,0.5160202383995056,"(0.3,)"
0,2.4007461071014404,0.5035849809646606,1.895561695098877,0.5480607151985168,"(0.4,)"
1,1.5624223947525024,0.5436524748802185,1.3009583950042725,0.6323777437210083,"(0.4,)"
2,1.1266602277755737,0.6153521537780762,0.9631451368331909,0.6964586973190308,"(0.4,)"
3,0.8835205435752869,0.7224799394607544,0.784132719039917,0.7470489144325256,"(0.4,)"
4,0.7858299016952515,0.7444116473197937,0.7281978130340576,0.7605396509170532,"(0.4,)"
5,0.7399479746818542,0.7688738703727722,0.692061185836792,0.8111298680305481,"(0.4,)"
6,0.6708197593688965,0.8026149272918701,0.6424731016159058,0.7841483950614929,"(0.4,)"
7,0.6208649277687073,0.8161113262176514,0.6116334795951843,0.7976391315460205,"(0.4,)"
8,0.5940271019935608,0.8207507133483887,0.6029079556465149,0.8077571392059326,"(0.4,)"
9,0.5544915795326233,0.840151846408844,0.6243535876274109,0.7993254661560059,"(0.4,)"
