exception,model,round,screenshot
Could not find continue button nor play button,random_bull,130,exception_pics\exception-00000.png
Could not find continue button nor play button,random_bull,134,exception_pics\exception-00001.png
Could not find continue button nor play button,random_bull,135,exception_pics\exception-00002.png
Could not find play button,random_bull,595,exception_pics\exception-00003.png
Did not start the round,tflite-ensemble,0,exception_pics\exception-00004.png
Did not start the round,tflite-ensemble,4,exception_pics\exception-00005.png
Did not start the round,tflite-ensemble,5,exception_pics\exception-00006.png
Could not find play button,tflite-ensemble,0,exception_pics\exception-00007.png
Did not start the round,tflite-ensemble,2,exception_pics\exception-00008.png
Could not find play button,tflite-ensemble,2,exception_pics\exception-00009.png
Could not find continue button nor play button,tflite-ensemble,22,exception_pics\exception-00010.png
Could not find continue button nor play button,tflite-ensemble,33,exception_pics\exception-00011.png
Could not find continue button nor play button,tflite-ensemble,34,exception_pics\exception-00012.png
Could not find play button,tflite-ensemble,35,exception_pics\exception-00013.png
Could not find play button,tflite-ensemble,36,exception_pics\exception-00014.png
Did not start the round,tflite-ensemble,37,exception_pics\exception-00015.png
Did not start the round,tflite-ensemble,38,exception_pics\exception-00016.png
Could not find continue button nor play button,tflite-ensemble,37,exception_pics\exception-00017.png
